type,date,value,unit,position
"Impedence 50kHz for segments","2026-05-18 10:28:32",666.0,,"Between Legs"
"Impedence 250kHz for segments","2026-05-18 10:28:32",595.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-05-18 10:28:32",775.0,,"Between Legs"
"Phase  6.25kHz segment","2026-05-18 10:28:32",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-05-18 10:28:32",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-05-18 10:28:32",-0.1,,"Between Legs"
"BIA Error","2026-05-18 10:28:32",0,
"Basal Metabolic Rate (BMR)","2026-05-18 10:28:32","1,373",
"Metabolic Age","2026-05-18 10:28:32",29,
FAT_PERCENT,"2026-05-18 10:28:32",34,
"Fat Free Percent","2026-05-18 10:28:32",66,
MUSCLE_PERCENT,"2026-05-18 10:28:32",62,
BONE_PERCENT,"2026-05-18 10:28:32",3,
WATER_PERCENT,"2026-05-18 10:28:32",44,
"Menstruation flow","2026-05-11 17:00:00",1,
"Menstruation flow","2026-05-10 17:00:00",1,
"Menstruation flow","2026-05-09 17:00:00",1,
"Menstruation flow","2026-05-08 17:00:00",1,
"Menstruation flow","2026-05-07 17:00:00",1,
"Menstruation flow","2026-05-06 17:00:00",1,
"Menstruation flow","2026-05-05 17:00:00",1,
FAT_FREE_MASS,"2026-04-29 10:28:06",45,
"Visceral Fat","2026-04-29 10:28:06",2.1,
"Impedence 50kHz for segments","2026-04-29 10:28:06",673.0,,"Between Legs"
"Impedence 250kHz for segments","2026-04-29 10:28:06",611.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-04-29 10:28:06",783.0,,"Between Legs"
"Phase  6.25kHz segment","2026-04-29 10:28:06",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-04-29 10:28:06",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-04-29 10:28:06",-0.1,,"Between Legs"
"BIA Error","2026-04-29 10:28:06",0,
"Basal Metabolic Rate (BMR)","2026-04-29 10:28:06","1,365",
"Metabolic Age","2026-04-29 10:28:06",29,
FAT_PERCENT,"2026-04-29 10:28:06",34,
"Fat Free Percent","2026-04-29 10:28:06",66,
MUSCLE_PERCENT,"2026-04-29 10:28:06",62,
BONE_PERCENT,"2026-04-29 10:28:06",3,
WATER_PERCENT,"2026-04-29 10:28:06",44,
FAT_FREE_MASS,"2026-04-24 07:57:46",45,
"Visceral Fat","2026-04-24 07:57:46",2.1,
"Impedence 50kHz for segments","2026-04-24 07:57:46",634.0,,"Between Legs"
"Impedence 250kHz for segments","2026-04-24 07:57:46",575.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-04-24 07:57:46",726.0,,"Between Legs"
"Phase  6.25kHz segment","2026-04-24 07:57:46",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-04-24 07:57:46",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-04-24 07:57:46",-0.1,,"Between Legs"
"BIA Error","2026-04-24 07:57:46",0,
