start,duration,value
2024-10-05T19:17:15+02:00,[7],[1]
2024-10-05T19:15:25+02:00,"[8,8]","[1,1]"
2024-10-05T19:14:00+02:00,[6],[1]
2024-10-05T19:02:58+02:00,[10],[2]
2024-10-05T18:54:57+02:00,[10],[1]
2024-10-05T18:53:35+02:00,[6],[1]
2024-10-05T18:52:34+02:00,[7],[2]
2024-10-05T18:50:38+02:00,[6],[1]
2024-10-05T18:42:13+02:00,[10],[1]
2024-10-05T18:38:37+02:00,[10],[1]
2024-10-05T18:37:12+02:00,[16],[1]
2024-10-05T18:35:08+02:00,[6],[1]
2024-10-05T18:34:52+02:00,[6],[1]
2024-10-05T18:32:45+02:00,[7],[3]
2024-10-05T18:29:10+02:00,[9],[2]
2024-10-05T18:27:38+02:00,[7],[1]
2024-10-05T18:26:56+02:00,[10],[2]
2024-10-05T18:26:22+02:00,[12],[1]
2024-10-05T18:26:04+02:00,[7],[1]
2024-10-05T18:25:05+02:00,[6],[1]
2024-10-05T18:24:46+02:00,[7],[1]
2024-10-05T18:23:33+02:00,[7],[1]
2024-10-05T18:23:17+02:00,[12],[1]
2024-10-05T18:10:27+02:00,[11],[2]
2024-10-05T18:09:11+02:00,[6],[1]
2024-10-05T18:07:00+02:00,[12],[2]
2024-10-05T18:06:33+02:00,[10],[1]
2024-10-05T17:48:14+02:00,[9],[1]
2024-10-05T17:46:22+02:00,[7],[1]
2024-10-05T17:44:32+02:00,[9],[1]
2024-10-05T17:29:28+02:00,[9],[1]
2024-10-05T16:56:58+02:00,[11],[1]
2024-10-05T16:55:34+02:00,[10],[1]
2024-10-05T16:53:43+02:00,[6],[1]
2024-10-05T16:53:28+02:00,[10],[3]
2024-10-05T16:53:09+02:00,[8],[1]
2024-10-05T16:52:26+02:00,[6],[2]
2024-10-05T16:51:12+02:00,"[10,10]","[1,1]"
2024-10-05T16:33:31+02:00,[6],[1]
2024-10-05T16:05:06+02:00,[6],[2]
2024-10-05T15:55:44+02:00,[8],[1]
2024-10-05T15:44:03+02:00,[11],[2]
2024-10-05T15:43:50+02:00,[11],[1]
2024-10-05T15:05:51+02:00,[15],[1]
2024-10-05T15:05:32+02:00,[16],[1]
2024-10-05T14:59:18+02:00,[10],[1]
2024-10-05T14:58:49+02:00,[9],[1]
2024-10-05T14:46:18+02:00,[12],[2]
2024-10-05T14:41:09+02:00,[15],[3]
2024-10-05T14:40:53+02:00,[14],[3]
2024-10-05T14:40:38+02:00,[7],[1]
2024-10-05T14:39:03+02:00,[10],[3]
2024-10-05T14:34:45+02:00,[14],[1]
2024-10-05T14:24:07+02:00,[11],[1]
2024-10-05T12:59:43+02:00,"[10,10]","[1,1]"
2024-10-05T11:57:14+02:00,[8],[1]
2024-10-05T10:35:49+02:00,[8],[1]
2024-10-05T10:34:46+02:00,[18],[5]
2024-10-05T10:33:30+02:00,[10],[1]
2024-10-05T10:32:30+02:00,[13],[4]
2024-10-05T10:29:47+02:00,[20],[4]
2024-10-05T10:18:20+02:00,[6],[1]
2024-10-05T09:54:07+02:00,[7],[1]
2024-10-05T09:48:00+02:00,[6],[1]
2024-10-05T09:30:16+02:00,[6],[1]
2024-10-05T09:26:52+02:00,[8],[1]
2024-10-05T09:16:57+02:00,[5],[1]
2024-10-05T09:05:53+02:00,[8],[1]
2024-10-05T08:53:42+02:00,[7],[1]
2024-10-05T08:36:00+02:00,[11],[1]
2024-10-05T08:32:14+02:00,[10],[1]
2024-10-05T07:30:04+02:00,[9],[2]
2024-10-05T07:27:04+02:00,[6],[1]
2024-10-05T07:24:51+02:00,[6],[1]
2024-10-05T07:22:47+02:00,[8],[1]
2024-10-05T07:21:32+02:00,[13],[1]
2024-10-05T07:20:18+02:00,[13],[1]
2024-10-05T07:19:55+02:00,[8],[1]
2024-10-05T06:55:04+02:00,[8],[2]
2024-10-05T06:53:29+02:00,[5],[1]
2024-10-05T06:52:42+02:00,[6],[2]
2024-10-05T06:49:34+02:00,[12],[3]
2024-10-05T06:48:14+02:00,[10],[3]
2024-10-05T05:40:17+02:00,[5],[1]
2024-10-05T05:38:41+02:00,[10],[1]
2024-10-05T04:35:36+02:00,[11],[1]
2024-10-05T04:35:19+02:00,[7],[1]
2024-10-05T04:24:06+02:00,[7],[1]
2024-10-05T04:15:18+02:00,[8],[1]
2024-10-05T04:02:28+02:00,[8],[1]
2024-10-05T03:45:48+02:00,[6],[1]
2024-10-05T03:22:00+02:00,[6],[1]
2024-10-05T03:18:32+02:00,[10],[1]
2024-10-05T02:47:03+02:00,[6],[1]
2024-10-05T02:39:13+02:00,[5],[1]
2024-10-05T02:27:51+02:00,[8],[1]
2024-10-05T02:19:40+02:00,"[8,8]","[2,2]"
2024-10-05T02:17:48+02:00,[9],[1]
2024-10-05T01:56:02+02:00,[7],[1]
2024-10-05T01:29:51+02:00,[17],[2]
2024-10-05T01:08:19+02:00,[12],[2]
2024-10-05T01:07:06+02:00,[5],[1]
2024-10-05T01:05:32+02:00,[5],[2]
2024-10-05T00:59:42+02:00,[10],[2]
2024-10-05T00:54:05+02:00,[10],[2]
2024-10-05T00:53:24+02:00,[6],[1]
