from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2025-02-28T16:49:00-08:00,2025-02-28T16:59:00-08:00,,,America/Los_Angeles,Cycling,"{""calories"":83.853935241699,""effduration"":480,""intensity"":0,""pause_duration"":0,""metcumul"":8}",,2025-03-06T09:32:26-08:00
2025-03-04T12:41:00-08:00,2025-03-04T12:47:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":9.0806226730347,""effduration"":298,""intensity"":0,""pause_duration"":0,""steps"":505,""distance"":312.23892211914,""metcumul"":2.8860068321228}",,2025-04-18T11:00:57-07:00
2025-03-04T14:05:00-08:00,2025-03-04T14:10:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":8.7355880737305,""effduration"":302,""intensity"":0,""pause_duration"":0,""steps"":470,""distance"":291.18759155273,""metcumul"":4.7832961082458}",,2025-04-18T11:00:57-07:00
2025-03-04T15:46:00-08:00,2025-03-04T15:51:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":7.8100004196167,""effduration"":240,""intensity"":0,""pause_duration"":0,""steps"":355,""distance"":262.75,""metcumul"":14.729999542236}",,2025-04-18T11:00:58-07:00
2025-03-05T12:21:00-08:00,2025-03-05T12:37:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":20.690000534058,""effduration"":840,""intensity"":0,""pause_duration"":0,""steps"":1017,""distance"":697.75,""metcumul"":43.730003356934}",,2025-04-18T11:00:58-07:00
2025-03-06T12:53:00-08:00,2025-03-06T13:00:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":11.670000076294,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":513,""distance"":368.40997314453,""metcumul"":21.980001449585}",,2025-04-18T11:00:59-07:00
2025-03-06T13:50:00-08:00,2025-03-06T13:58:00-08:00,,,America/Los_Angeles,Walking,"{""calories"":10.489999771118,""effduration"":420,""intensity"":0,""pause_duration"":0,""steps"":538,""distance"":360.85998535156,""metcumul"":22.360000610352}",,2025-04-18T11:00:59-07:00
2025-03-09T17:02:00-07:00,2025-03-09T17:17:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":19.237781524658,""effduration"":785,""intensity"":0,""pause_duration"":0,""steps"":1053,""distance"":657.23083496094,""metcumul"":10.213213920593}",,2025-04-18T11:01:00-07:00
2025-03-11T12:13:00-07:00,2025-03-11T12:18:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":8.3168840408325,""effduration"":252,""intensity"":0,""pause_duration"":0,""steps"":462,""distance"":285.65225219727,""metcumul"":3.0403730869293}",,2025-04-18T11:01:00-07:00
2025-03-11T14:11:00-07:00,2025-03-11T14:19:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":9.8090162277222,""effduration"":454,""intensity"":0,""pause_duration"":0,""steps"":646,""distance"":399.40234375,""metcumul"":5.0788283348083}",,2025-04-18T11:01:01-07:00
2025-03-09T12:20:00-07:00,2025-03-09T12:30:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":83.949447631836,""effduration"":310,""intensity"":0,""pause_duration"":0,""steps"":16,""distance"":9.924654006958,""metcumul"":7.1416373252869}",,2025-04-18T11:01:00-07:00
2025-03-12T12:11:00-07:00,2025-03-12T12:25:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":15.640000343323,""effduration"":780,""intensity"":0,""pause_duration"":0,""steps"":789,""distance"":534.13000488281,""metcumul"":35.650001525879}",,2025-04-18T11:01:01-07:00
2025-03-12T13:31:00-07:00,2025-03-12T13:41:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.489999771118,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":610,""distance"":435.97998046875,""metcumul"":22.779998779297}",,2025-04-18T11:01:01-07:00
2025-03-12T14:57:00-07:00,2025-03-12T15:06:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.460000038147,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":677,""distance"":487.11999511719,""metcumul"":28.200000762939}",,2025-04-18T11:01:02-07:00
2025-03-12T17:39:00-07:00,2025-03-12T17:46:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.680000305176,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":551,""distance"":369.33999633789,""metcumul"":21.840000152588}",,2025-04-18T11:01:02-07:00
2025-03-13T13:13:00-07:00,2025-03-13T13:19:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":10.759999275208,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":494,""distance"":350.98999023438,""metcumul"":20.050001144409}",,2025-04-18T11:01:02-07:00
2025-03-13T14:18:00-07:00,2025-03-13T14:23:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":11.440000534058,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":543,""distance"":376.49002075195,""metcumul"":21.280000686646}",,2025-04-18T11:01:03-07:00
2025-03-16T12:59:00-07:00,2025-03-16T13:12:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":109.13428497314,""effduration"":300,""intensity"":0,""pause_duration"":0,""steps"":13,""distance"":9.4500007629395,""metcumul"":5.2999997138977}",,2025-04-18T11:01:04-07:00
2025-03-16T17:02:00-07:00,2025-03-16T17:11:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":16.85000038147,""effduration"":541,""intensity"":0,""pause_duration"":0,""steps"":900,""distance"":626.83001708984,""metcumul"":32.880001068115}",,2025-04-18T11:01:04-07:00
2025-03-16T17:37:00-07:00,2025-03-16T17:45:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.840000152588,""effduration"":479,""intensity"":0,""pause_duration"":0,""steps"":823,""distance"":574.13006591797,""metcumul"":29.509998321533}",,2025-04-18T11:01:04-07:00
2025-03-18T12:14:00-07:00,2025-03-18T12:25:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":17.380001068115,""effduration"":600,""intensity"":0,""hr_average"":104,""hr_min"":96,""hr_max"":112,""hr_zone_0"":0,""hr_zone_1"":624,""hr_zone_2"":0,""hr_zone_3"":0,""pause_duration"":0,""steps"":870,""distance"":587.88000488281,""metcumul"":35.450000762939}",,2025-04-18T11:01:05-07:00
2025-03-18T15:20:00-07:00,2025-03-18T15:29:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.480000495911,""effduration"":480,""intensity"":0,""pause_duration"":0,""steps"":694,""distance"":478.44000244141,""metcumul"":28.549999237061}",,2025-04-18T11:01:05-07:00
